DIA;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN_ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
04/01/2018;2322.30;43458.05;45780.35;1907.51;8282;183;8465
05/01/2018;1655.23;45654.88;47310.11;1971.25;5872;75;5947
06/01/2018;513.38;45419.95;45933.33;1913.89;1379;14;1393
07/01/2018;791.93;47033.51;47825.44;1992.73;2414;7;2421
08/01/2018;1983.18;46055.93;48039.11;2001.63;7802;41;7843
09/01/2018;1456.17;46251.25;47707.42;1987.81;5915;9;5924
10/01/2018;1767.02;45674.06;47441.08;1976.71;7045;11;7056
11/01/2018;2221.85;44974.15;47196.00;1966.50;8765;39;8804
12/01/2018;2404.50;45267.13;47671.63;1986.32;9262;41;9303
13/01/2018;1318.37;45610.35;46928.72;1955.36;4311;31;4342
14/01/2018;1689.98;45229.91;46919.89;1955.00;5375;82;5457
15/01/2018;2024.32;45288.21;47312.53;1971.36;8130;49;8179
16/01/2018;2360.58;45003.77;47364.35;1973.51;9315;61;9376
17/01/2018;2382.70;45427.30;47810.00;1992.08;9698;42;9740
18/01/2018;2552.28;44879.71;47431.99;1976.33;10004;101;10105
19/01/2018;2708.27;44650.12;47358.39;1973.27;10226;117;10343
20/01/2018;2337.15;46041.33;48378.48;2015.77;7471;245;7716
21/01/2018;2450.18;45516.55;47966.73;1998.61;7460;242;7702
22/01/2018;2453.23;45531.40;47984.63;1999.36;9511;63;9574
23/01/2018;2627.85;45036.37;47664.22;1986.01;10212;88;10300
24/01/2018;2683.48;44692.78;47376.26;1974.01;10689;46;10735
25/01/2018;1728.42;46008.98;47737.40;1989.06;6790;17;6807
26/01/2018;2425.47;45468.77;47894.24;1995.59;9192;67;9259
27/01/2018;2060.65;45591.41;47652.06;1985.50;6681;175;6856
28/01/2018;1922.65;46124.28;48046.93;2001.96;6069;195;6264
29/01/2018;2264.13;45143.70;47407.83;1975.33;9164;76;9240
30/01/2018;2480.75;45099.81;47580.56;1982.52;9785;65;9850
31/01/2018;2594.90;45206.21;47801.11;1991.71;10190;89;10279
01/02/2018;2237.35;45550.70;47788.05;1991.17;9070;62;9132
02/02/2018;2213.75;45872.15;48085.90;2003.58;8789;47;8836
03/02/2018;1980.22;46571.91;48552.13;2023.01;6586;177;6763
04/02/2018;712.88;48128.50;48841.38;2035.06;2152;23;2175
05/02/2018;745.8;48096.66;48842.46;2035.10;2895;7;2902
06/02/2018;1968.95;46261.00;48229.95;2009.58;7745;40;7785
07/02/2018;2000.45;45192.95;47193.40;1966.39;8023;30;8053
08/02/2018;2070.27;45332.98;47403.25;1975.14;8278;49;8327
09/02/2018;2184.13;45198.80;47382.93;1974.29;8485;70;8555
10/02/2018;1875.22;45233.61;47108.83;1962.87;6220;216;6436
11/02/2018;2056.07;45516.17;47572.24;1982.18;6115;217;6332
12/02/2018;2116.00;46441.93;48557.93;2023.25;8168;83;8251
13/02/2018;2162.98;46049.80;48212.78;2008.87;8476;62;8538
14/02/2018;2339.77;45396.01;47735.78;1988.99;9320;70;9390
15/02/2018;2380.38;45417.12;47797.50;1991.56;9205;123;9328
16/02/2018;2615.87;44518.25;47134.12;1963.92;9515;162;9677
17/02/2018;2279.13;45641.90;47921.03;1996.71;7232;284;7516
18/02/2018;2346.12;46002.16;48348.28;2014.51;6686;339;7025
19/02/2018;2300.07;45907.87;48207.94;2008.66;9048;66;9114
20/02/2018;2517.13;45175.68;47692.81;1987.20;9924;79;10003
21/02/2018;2297.08;44972.28;47269.36;1969.56;9326;92;9418
22/02/2018;2291.25;45535.18;47826.43;1992.77;9370;50;9420
23/02/2018;2492.17;44982.28;47474.45;1978.10;9452;115;9567
24/02/2018;2174.33;45923.37;48097.70;2004.07;6940;273;7213
25/02/2018;2300.35;45986.78;48287.13;2011.96;6608;294;6902
26/02/2018;2313.75;45919.91;48233.66;2009.74;9235;87;9322
27/02/2018;1167.32;46869.68;48037.00;2001.54;4627;13;4640
28/02/2018;955.9;47130.31;48086.21;2003.59;3615;13;3628
01/03/2018;890.08;47075.16;47965.24;1998.55;3254;5;3259
02/03/2018;1037.30;47096.41;48133.71;2005.57;3615;8;3623
03/03/2018;1410.48;46532.23;47942.71;1997.61;4580;106;4686
04/03/2018;1735.23;45871.36;47606.59;1983.61;5280;134;5414
05/03/2018;1518.33;46120.81;47639.14;1984.96;6159;42;6201
06/03/2018;1927.40;46084.67;48012.07;2000.50;7641;47;7688
07/03/2018;2510.18;44977.67;47487.85;1978.66;9573;70;9643
08/03/2018;2552.30;43857.53;46409.83;1933.74;9520;63;9583
09/03/2018;1373.30;45538.83;46912.13;1954.67;4818;12;4830
10/03/2018;1211.97;45882.93;47094.90;1962.29;3858;76;3934
11/03/2018;1414.50;45495.45;46909.95;1954.58;4509;60;4569
12/03/2018;2157.53;45067.80;47225.33;1967.72;8478;92;8570
13/03/2018;2336.18;45497.12;47833.30;1993.05;9267;75;9342
14/03/2018;849.33;46843.68;47693.01;1987.21;3219;27;3246
15/03/2018;2338.85;44966.82;47305.67;1971.07;8998;77;9075
16/03/2018;2159.92;44231.08;46391.00;1932.96;7844;139;7983
17/03/2018;1554.92;44594.21;46149.13;1922.88;5016;162;5178
18/03/2018;2114.58;44269.82;46384.40;1932.68;6187;235;6422
19/03/2018;1448.35;44471.78;45920.13;1913.34;5829;35;5864
20/03/2018;1960.45;43205.21;45165.66;1881.90;8030;48;8078
21/03/2018;2162.88;42830.03;44992.91;1874.70;8763;50;8813
22/03/2018;2439.98;43108.46;45548.44;1897.85;9451;79;9530
23/03/2018;1850.97;43940.70;45791.67;1907.99;7071;54;7125
24/03/2018;1421.90;45136.43;46558.33;1939.93;4894;131;5025
25/03/2018;1683.15;45073.73;46756.88;2032.91;5075;204;5279
26/03/2018;2054.88;45008.63;47063.51;1960.98;7357;181;7538
27/03/2018;2265.22;44933.47;47198.69;1966.61;7985;202;8187
28/03/2018;2130.62;45202.70;47333.32;1972.22;7263;214;7477
29/03/2018;1464.25;45931.91;47396.16;1974.84;4036;220;4256
30/03/2018;1061.70;46040.11;47101.81;1962.58;2976;268;3244
31/03/2018;1237.37;45437.26;46674.63;1944.78;3664;285;3949
01/04/2018;1928.18;45423.58;47351.76;1972.99;4772;510;5282
02/04/2018;2463.53;45176.46;47639.99;1985.00;8853;301;9154
03/04/2018;2282.13;44802.78;47084.91;1961.87;9293;98;9391
04/04/2018;2487.47;44664.51;47151.98;1964.67;9794;96;9890
05/04/2018;2824.80;44032.01;46856.81;1952.37;10976;138;11114
06/04/2018;2177.75;44892.33;47070.08;1961.25;8253;156;8409
07/04/2018;1546.63;45284.48;46831.11;1951.30;5237;81;5318
08/04/2018;2408.17;43698.98;46107.15;1921.13;7248;294;7542
09/04/2018;1688.57;44812.26;46500.83;1937.53;6908;28;6936
10/04/2018;800.5;46827.66;47628.16;1984.51;3063;6;3069
11/04/2018;2083.88;45300.20;47384.08;1974.34;8612;67;8679
12/04/2018;1809.10;45801.85;47610.95;1983.79;7075;53;7128
13/04/2018;2308.57;45456.41;47764.98;1990.21;8595;80;8675
14/04/2018;2535.07;45057.15;47592.22;1983.01;7668;330;7998
15/04/2018;2421.87;45273.23;47695.10;1987.30;7296;300;7596
16/04/2018;2612.15;44632.73;47244.88;1968.54;9844;116;9960
17/04/2018;3144.88;43891.60;47036.48;1959.85;11402;168;11570
18/04/2018;3397.40;43109.50;46506.90;1937.79;12504;191;12695
19/04/2018;3417.70;42484.03;45901.73;1912.57;12561;139;12700
20/04/2018;3417.33;43664.75;47082.08;1961.75;12150;177;12327
21/04/2018;2903.37;44654.35;47557.72;1981.57;8705;419;9124
22/04/2018;2976.52;44319.13;47295.65;1970.65;9094;336;9430
23/04/2018;3131.87;44440.43;47572.30;1982.18;11377;221;11598
24/04/2018;3495.18;43535.47;47030.65;1959.61;12846;183;13029
25/04/2018;3649.17;42715.53;46364.70;1931.86;13592;160;13752
26/04/2018;3741.87;42875.72;46617.59;1942.40;13392;171;13563
27/04/2018;3578.87;42693.75;46272.62;1928.03;12330;291;12621
28/04/2018;2403.07;43718.40;46121.47;1921.73;6987;453;7440
29/04/2018;1150.48;45735.98;46886.46;1953.60;3707;150;3857
30/04/2018;1635.97;45861.25;47497.22;1979.05;5555;199;5754
01/05/2018;2142.45;45180.84;47323.29;1971.80;5669;418;6087
02/05/2018;2290.47;44586.06;46876.53;1953.19;6903;236;7139
03/05/2018;2901.30;43461.66;46362.96;1931.79;10814;211;11025
04/05/2018;3346.78;43473.35;46820.13;1950.84;11629;223;11852
05/05/2018;3177.00;43720.88;46897.88;1954.08;9114;463;9577
06/05/2018;3060.05;43101.50;46161.55;1923.40;8495;478;8973
07/05/2018;2836.57;44075.58;46912.15;1954.67;10334;234;10568
08/05/2018;3170.72;43246.01;46416.73;1934.03;11623;268;11891
09/05/2018;3522.63;42561.55;46084.18;1920.17;13001;234;13235
10/05/2018;3761.53;41896.75;45658.28;1902.43;13412;335;13747
11/05/2018;3674.73;41207.93;44882.66;1870.11;12759;350;13109
12/05/2018;2750.48;42318.37;45068.85;1877.87;8385;438;8823
13/05/2018;2717.57;42774.58;45492.15;1895.51;7476;469;7945
14/05/2018;2907.47;42413.23;45320.70;1888.36;10559;204;10763
15/05/2018;3177.62;42136.41;45314.03;1888.08;9242;298;9540
16/05/2018;3485.90;42333.35;45819.25;1909.14;12792;194;12986
17/05/2018;3670.93;41737.10;45408.03;1892.00;13369;196;13565
18/05/2018;3232.63;42312.03;45544.66;1897.69;11814;190;12004
19/05/2018;3020.68;42018.75;45039.43;1876.64;9498;491;9989
20/05/2018;3052.82;41308.40;44361.22;1848.38;8873;508;9381
21/05/2018;3153.03;41058.18;44211.21;1842.13;11606;292;11898
22/05/2018;3204.12;40635.63;43839.75;1826.66;12127;163;12290
23/05/2018;3384.68;40047.30;43431.98;1809.67;12693;136;12829
24/05/2018;3498.37;39483.36;42981.73;1790.91;13149;184;13333
25/05/2018;2175.40;40218.70;42394.10;1766.42;7978;94;8072
26/05/2018;3111.80;39569.16;42680.96;1778.37;9442;417;9859
27/05/2018;3395.15;39574.03;42969.18;1790.38;9893;390;10283
28/05/2018;1707.98;41944.53;43652.51;1818.85;6334;96;6430
29/05/2018;2446.00;41932.83;44378.83;1849.12;9451;96;9547
30/05/2018;2992.55;41744.75;44737.30;1864.05;11388;123;11511
31/05/2018;3565.90;41327.11;44893.01;1870.54;13144;174;13318
01/06/2018;3733.58;40677.45;44411.03;1850.46;13170;213;13383
02/06/2018;2418.03;42033.38;44451.41;1852.14;7235;401;7636
03/06/2018;3246.87;41249.85;44496.72;1854.03;9155;392;9547
04/06/2018;3208.42;41655.45;44863.87;1869.33;12074;201;12275
05/06/2018;3220.30;42197.73;45418.03;1892.42;12523;110;12633
06/06/2018;2871.65;43067.72;45939.37;1914.14;11129;71;11200
07/06/2018;3728.78;42425.70;46154.48;1923.10;13616;202;13818
08/06/2018;2172.72;43735.98;45908.70;1912.86;7925;86;8011
09/06/2018;2810.70;42711.18;45521.88;1896.75;8789;394;9183
10/06/2018;2542.30;43230.80;45773.10;1907.21;7918;330;8248
11/06/2018;3029.98;42164.25;45194.23;1883.09;11570;175;11745
12/06/2018;3456.18;41260.96;44717.14;1863.21;12879;162;13041
13/06/2018;3578.30;41396.05;44974.35;1873.93;13547;188;13735
14/06/2018;3531.10;41604.27;45135.37;1880.64;13361;172;13533
15/06/2018;3543.65;41946.53;45490.18;1895.42;13163;204;13367
16/06/2018;2933.23;42683.27;45616.50;1900.69;9464;331;9795
17/06/2018;2878.90;42580.15;45459.05;1894.13;8600;367;8967
18/06/2018;3365.47;42346.58;45712.05;1904.67;12578;192;12770
19/06/2018;3634.93;42215.25;45850.18;1910.42;13815;145;13960
20/06/2018;3779.17;41641.45;45420.62;1892.53;14346;164;14510
21/06/2018;3814.20;41150.73;44964.93;1873.54;14469;173;14642
22/06/2018;3720.03;40908.30;44628.33;1859.51;13591;227;13818
23/06/2018;2850.87;41946.42;44797.29;1866.55;9211;429;9640
24/06/2018;2660.88;42409.52;45070.40;1877.93;8522;323;8845
25/06/2018;3508.97;40953.66;44462.63;1852.61;13283;216;13499
26/06/2018;3699.23;40161.58;43860.81;1827.53;13807;173;13980
27/06/2018;3949.78;39779.45;43729.23;1822.05;14537;204;14741
28/06/2018;3947.52;39409.35;43356.87;1806.54;14561;206;14767
29/06/2018;3707.28;38866.85;42574.13;1773.92;13491;257;13748
30/06/2018;2772.50;39855.23;42627.73;1776.16;9171;298;9469
01/07/2018;2920.65;40848.35;43769.00;1823.71;8537;297;8834
02/07/2018;3585.42;40693.15;44278.57;1844.94;12802;150;12952
03/07/2018;3890.30;40279.50;44169.80;1840.41;13935;141;14076
04/07/2018;4008.98;39591.75;43600.73;1816.70;13865;162;14027
05/07/2018;4065.55;39321.90;43387.45;1807.81;13755;154;13909
06/07/2018;3614.67;39456.01;43070.68;1794.61;12452;189;12641
07/07/2018;2785.48;39052.65;41838.13;1743.26;8316;303;8619
08/07/2018;2862.63;37411.45;40274.08;1678.09;7676;348;8024
09/07/2018;3580.77;38026.60;41607.37;1733.64;12415;257;12672
10/07/2018;3654.30;39067.95;42722.25;1780.09;13472;188;13660
11/07/2018;3867.52;39265.36;43132.88;1797.20;13514;195;13709
12/07/2018;3866.50;39261.70;43128.20;1797.01;13578;193;13771
13/07/2018;3480.20;40491.20;43971.40;1832.14;12271;265;12536
14/07/2018;2612.52;41222.05;43834.57;1826.44;8015;364;8379
15/07/2018;2573.72;42329.18;44902.90;1870.95;7664;366;8030
16/07/2018;3223.85;41024.20;44248.05;1843.67;11787;176;11963
17/07/2018;3594.70;40586.10;44180.80;1840.87;12966;214;13180
18/07/2018;3857.57;40424.78;44282.35;1845.10;13516;224;13740
19/07/2018;3740.98;40664.45;44405.43;1850.23;13442;184;13626
20/07/2018;3434.42;40546.40;43980.82;1832.53;12069;192;12261
21/07/2018;2604.48;41276.81;43881.29;1828.39;7807;338;8145
22/07/2018;2505.52;41487.78;43993.30;1833.05;7009;440;7449
23/07/2018;3165.90;41401.00;44566.90;1856.95;11607;238;11845
24/07/2018;3398.53;40999.82;44398.35;1849.93;12377;197;12574
25/07/2018;3390.12;40754.05;44144.17;1839.34;12501;173;12674
26/07/2018;3422.32;40201.18;43623.50;1817.65;12465;190;12655
27/07/2018;3337.07;39998.28;43335.35;1805.64;11318;248;11566
28/07/2018;2606.70;41105.40;43712.10;1821.34;7855;371;8226
29/07/2018;2665.18;40898.51;43563.69;1815.15;7627;379;8006
30/07/2018;3209.73;41190.03;44399.76;1849.99;11655;217;11872
31/07/2018;3538.70;40380.78;43919.48;1829.98;12410;287;12697
01/08/2018;3498.62;40793.32;44291.94;1845.50;12219;272;12491
02/08/2018;3253.73;41759.98;45013.71;1875.57;11526;202;11728
03/08/2018;2764.93;42571.32;45336.25;1889.01;10073;131;10204
04/08/2018;2150.35;43114.50;45264.85;1886.04;6486;277;6763
05/08/2018;2158.40;43231.18;45389.58;1891.23;6272;322;6594
06/08/2018;2539.47;43278.71;45818.18;1909.09;9058;208;9266
07/08/2018;2779.25;42680.60;45459.85;1894.16;10023;133;10156
08/08/2018;2910.87;42488.76;45399.63;1891.65;10016;242;10258
09/08/2018;2944.60;42799.92;45744.52;1906.02;10077;245;10322
10/08/2018;2506.52;43455.83;45962.35;1915.10;8756;252;9008
11/08/2018;2181.78;44533.30;46715.08;1946.46;6099;380;6479
12/08/2018;2129.62;44228.22;46357.84;1931.58;5868;398;6266
13/08/2018;2552.78;44386.06;46938.84;1955.79;8281;281;8562
14/08/2018;2743.13;44328.48;47071.61;1961.32;8895;268;9163
15/08/2018;2360.80;44481.79;46842.59;1951.77;6763;308;7071
16/08/2018;2526.32;43944.53;46470.85;1936.29;8754;230;8984
17/08/2018;2294.57;45415.07;47709.64;1987.90;7983;194;8177
18/08/2018;2047.77;46476.28;48524.05;2021.84;5854;263;6117
19/08/2018;2221.38;46327.05;48548.43;2022.85;5885;430;6315
20/08/2018;2608.32;45698.56;48306.88;2012.79;9293;237;9530
21/08/2018;2696.23;44860.11;47556.34;1981.51;9915;213;10128
22/08/2018;2884.38;44093.55;46977.93;1957.41;10570;151;10721
23/08/2018;3031.10;43426.80;46457.90;1935.75;10814;178;10992
24/08/2018;2931.65;42957.43;45889.08;1912.05;10008;231;10239
25/08/2018;2532.65;43656.43;46189.08;1924.55;7163;351;7514
26/08/2018;2442.55;43142.00;45584.55;1899.36;6969;375;7344
27/08/2018;3048.02;42209.11;45257.13;1885.71;11099;253;11352
28/08/2018;3331.57;41448.58;44780.15;1865.84;12003;278;12281
29/08/2018;3423.32;41222.40;44645.72;1860.24;12579;255;12834
30/08/2018;3500.82;41524.02;45024.84;1876.04;12835;245;13080
31/08/2018;3428.13;41531.66;44959.79;1873.32;12490;164;12654
01/09/2018;3127.73;42027.43;45155.16;1881.47;9428;286;9714
02/09/2018;3143.27;41915.65;45058.92;1877.46;8969;357;9326
03/09/2018;3824.92;40862.40;44687.32;1861.97;13418;181;13599
04/09/2018;4282.53;39857.43;44139.96;1839.17;14743;183;14926
05/09/2018;4448.32;40252.77;44701.09;1862.55;14995;151;15146
06/09/2018;4578.30;40561.48;45139.78;1880.82;15332;147;15479
07/09/2018;3962.60;40854.98;44817.58;1867.40;13467;175;13642
08/09/2018;2705.82;42670.78;45376.60;1890.69;8424;194;8618
09/09/2018;3421.55;41641.91;45063.46;1877.64;9783;520;10303
10/09/2018;4181.28;40994.43;45175.71;1882.32;14448;218;14666
11/09/2018;4445.62;40431.97;44877.59;1869.90;15522;160;15682
12/09/2018;4590.67;41013.11;45603.78;1900.16;16127;149;16276
13/09/2018;4622.45;40864.73;45487.18;1895.30;16189;196;16385
14/09/2018;4652.63;39803.41;44456.04;1852.34;15739;257;15996
15/09/2018;3868.30;39998.05;43866.35;1827.76;11122;403;11525
16/09/2018;3894.07;40037.48;43931.55;1830.48;10693;449;11142
17/09/2018;4000.57;40896.90;44897.47;1870.73;14317;208;14525
18/09/2018;4167.92;40353.13;44521.05;1855.04;15150;120;15270
19/09/2018;4659.72;39718.35;44378.07;1849.09;16314;140;16454
20/09/2018;4791.25;39859.90;44651.15;1860.46;16530;203;16733
21/09/2018;4656.50;39653.75;44310.25;1846.26;15601;205;15806
22/09/2018;3985.75;39989.17;43974.92;1832.29;11423;399;11822
23/09/2018;4006.90;39619.05;43625.95;1817.75;11100;441;11541
24/09/2018;4116.73;39719.55;43836.28;1826.51;14572;201;14773
25/09/2018;4391.57;38967.73;43359.30;1806.64;15672;161;15833
26/09/2018;4249.08;39981.95;44231.03;1842.96;15131;145;15276
27/09/2018;4639.53;39537.50;44177.03;1840.71;16025;167;16192
28/09/2018;4602.20;40229.85;44832.05;1868.00;15532;192;15724
29/09/2018;3989.97;40822.97;44812.94;1867.21;11742;401;12143
30/09/2018;4051.97;40589.86;44641.83;1860.08;10948;415;11363
01/10/2018;4203.60;40255.66;44459.26;1852.47;14117;284;14401
02/10/2018;4200.15;40146.70;44346.85;1847.79;14889;135;15024
03/10/2018;4469.27;39389.47;43858.74;1827.45;15777;143;15920
04/10/2018;4469.60;37752.52;42222.12;1759.26;15601;148;15749
05/10/2018;4472.75;37198.99;41671.74;1736.32;15107;192;15299
06/10/2018;3956.67;37825.55;41782.22;1740.93;11792;368;12160
07/10/2018;3388.52;39094.20;42482.72;1770.11;9864;348;10212
08/10/2018;3365.23;39479.44;42844.67;1785.19;13327;119;13446
09/10/2018;3248.60;39688.55;42937.15;1789.05;11609;85;11694
10/10/2018;3382.98;40134.04;43517.02;1813.21;12457;47;12504
11/10/2018;3306.02;40536.90;43842.92;1826.79;11747;57;11804
12/10/2018;2781.78;41229.78;44011.56;1833.82;7850;191;8041
13/10/2018;3095.65;41295.86;44391.51;1849.65;8993;393;9386
14/10/2018;2197.62;42596.98;44794.60;1866.44;6887;199;7086
15/10/2018;2819.52;42861.71;45681.23;1903.38;10699;63;10762
16/10/2018;3745.93;42223.21;45969.14;1915.38;13630;80;13710
17/10/2018;4015.68;41596.98;45612.66;1900.53;14430;98;14528
18/10/2018;3463.20;41660.90;45124.10;1880.17;12791;102;12893
19/10/2018;2101.18;43091.80;45192.98;1883.04;7216;68;7284
20/10/2018;2722.05;42541.10;45263.15;1885.96;8357;248;8605
21/10/2018;2944.18;41898.39;44842.57;1868.44;8955;242;9197
22/10/2018;3657.58;41896.52;45554.10;1898.09;13226;127;13353
23/10/2018;3922.80;41697.95;45620.75;1900.86;14082;136;14218
24/10/2018;4014.43;41802.11;45816.54;1909.02;14240;102;14342
25/10/2018;4087.58;41923.37;46010.95;1917.12;14619;150;14769
26/10/2018;3318.45;42559.87;45878.32;1911.60;11387;126;11513
27/10/2018;2127.00;44008.02;46135.02;1922.29;6619;81;6700
28/10/2018;2404.93;45829.15;48234.08;1929.36;6796;161;6957
29/10/2018;2877.68;43805.59;46683.27;1945.14;10217;64;10281
30/10/2018;1591.15;45759.65;47350.80;1972.95;5125;8;5133
31/10/2018;2896.40;44652.47;47548.87;1981.20;10451;40;10491
01/11/2018;2787.17;44180.77;46967.94;1957.00;7812;225;8037
02/11/2018;3108.23;44846.19;47954.42;1998.10;9847;253;10100
03/11/2018;2718.18;45440.17;48158.35;2006.60;8019;252;8271
04/11/2018;2538.98;45794.36;48333.34;2013.89;7271;247;7518
05/11/2018;1852.98;46337.77;48190.75;2007.95;6402;33;6435
06/11/2018;3042.22;44919.12;47961.34;1998.39;10699;79;10778
07/11/2018;2267.33;45247.15;47514.48;1979.77;7897;27;7924
08/11/2018;2371.32;44899.47;47270.79;1969.62;8733;24;8757
09/11/2018;2369.87;44890.18;47260.05;1969.17;6992;109;7101
10/11/2018;2069.42;45314.98;47384.40;1974.35;6285;109;6394
11/11/2018;2470.67;44986.01;47456.68;1977.36;6781;189;6970
12/11/2018;2594.78;45146.49;47741.27;1989.22;9717;20;9737
13/11/2018;3363.90;44629.29;47993.19;1999.72;12300;82;12382
14/11/2018;3399.77;44764.58;48164.35;2006.85;12163;71;12234
15/11/2018;3346.53;44640.79;47987.32;1999.47;11935;48;11983
16/11/2018;3132.35;44011.87;47144.22;1964.34;11106;97;11203
17/11/2018;3248.23;42890.49;46138.72;1922.45;9448;311;9759
18/11/2018;1956.08;44008.84;45964.92;1915.21;5322;103;5425
19/11/2018;2786.72;44261.96;47048.68;1960.36;9876;68;9944
20/11/2018;2455.00;44516.34;46971.34;1957.14;9105;27;9132
21/11/2018;2808.38;44850.92;47659.30;1985.80;10042;29;10071
22/11/2018;2958.90;45291.13;48250.03;2010.42;11237;20;11257
23/11/2018;3112.53;45042.68;48155.21;2006.47;10834;79;10913
24/11/2018;2473.50;44797.73;47271.23;1969.63;7634;168;7802
25/11/2018;2150.57;44607.60;46758.17;1948.26;6042;131;6173
26/11/2018;2800.27;45236.82;48037.09;2001.55;9877;61;9938
27/11/2018;2973.12;45698.88;48672.00;2028.00;10955;41;10996
28/11/2018;2999.80;45455.74;48455.54;2018.98;10988;31;11019
29/11/2018;3198.07;45473.93;48672.00;2028.00;10565;40;10605
30/11/2018;3336.70;45335.30;48672.00;2028.00;10880;59;10939
01/12/2018;2944.15;45727.85;48672.00;2028.00;8488;184;8672
02/12/2018;2430.50;46241.50;48672.00;2028.00;6940;107;7047
03/12/2018;2609.87;46062.13;48672.00;2028.00;9441;41;9482
04/12/2018;3221.00;45451.00;48672.00;2028.00;11224;44;11268
05/12/2018;3377.35;45294.65;48672.00;2028.00;11523;46;11569
06/12/2018;2632.70;45660.14;48292.84;2012.20;7409;120;7529
07/12/2018;2687.83;45984.17;48672.00;2028.00;8305;139;8444
08/12/2018;2421.73;46250.27;48672.00;2028.00;6798;305;7103
09/12/2018;2685.97;44443.48;47129.45;1963.73;7009;251;7260
10/12/2018;3013.35;45125.71;48139.06;2005.79;10267;90;10357
11/12/2018;3159.53;45512.47;48672.00;2028.00;11084;86;11170
12/12/2018;3031.60;45640.40;48672.00;2028.00;11089;83;11172
13/12/2018;2237.33;46434.67;48672.00;2028.00;7909;19;7928
14/12/2018;3133.18;45538.82;48672.00;2028.00;10968;56;11024
15/12/2018;2816.98;45855.02;48672.00;2028.00;8427;102;8529
16/12/2018;2398.27;46273.73;48672.00;2028.00;6816;85;6901
17/12/2018;2880.15;45791.85;48672.00;2028.00;10159;62;10221
18/12/2018;2783.40;45888.60;48672.00;2028.00;10126;56;10182
19/12/2018;2987.48;45684.52;48672.00;2028.00;10440;82;10522
20/12/2018;3124.80;44666.75;47791.55;1991.31;11022;47;11069
21/12/2018;2897.82;44275.30;47173.12;1965.55;10063;69;10132
22/12/2018;2107.68;45844.69;47952.37;1998.02;6521;63;6584
23/12/2018;1687.73;46468.04;48155.77;2006.49;5046;132;5178
24/12/2018;1425.37;46862.19;48287.56;2011.98;4364;96;4460
25/12/2018;1156.28;47108.75;48265.03;2011.04;2873;152;3025
26/12/2018;1969.98;46586.11;48556.09;2023.17;6497;124;6621
27/12/2018;2101.15;46154.69;48255.84;2010.66;7282;151;7433
28/12/2018;2299.82;45874.27;48174.09;2007.25;7387;256;7643
29/12/2018;1855.88;46063.56;47919.44;1996.64;5584;250;5834
30/12/2018;1827.20;45881.63;47708.83;1987.87;5114;301;5415
31/12/2018;1594.02;45214.57;46808.59;1950.36;4718;283;5001
01/01/2019;1579.93;45079.10;46659.03;1944.13;3516;345;3861
02/01/2019;1939.40;45968.54;47907.94;1996.16;6395;166;6561
03/01/2019;2147.32;44563.80;46711.12;1946.30;7480;146;7626
04/01/2019;2242.00;44162.04;46404.04;1933.50;7787;157;7944
05/01/2019;1963.67;44117.50;46081.17;1920.05;6256;109;6365
06/01/2019;1665.42;44807.75;46473.17;1936.38;4747;114;4861
07/01/2019;1798.62;45555.54;47354.16;1973.09;5493;101;5594
08/01/2019;2434.03;44858.94;47292.97;1970.54;9411;54;9465
09/01/2019;2631.70;45034.67;47666.37;1986.10;10072;42;10114
10/01/2019;2489.70;46114.09;48603.79;2025.16;9764;41;9805
11/01/2019;2521.10;46086.05;48607.15;2025.30;9413;51;9464
12/01/2019;2182.63;46489.37;48672.00;2028.00;7008;134;7142
13/01/2019;2043.77;46628.23;48672.00;2028.00;6174;131;6305
14/01/2019;2537.17;46134.83;48672.00;2028.00;9368;44;9412
15/01/2019;2727.83;45944.17;48672.00;2028.00;10130;44;10174
16/01/2019;2571.62;46100.38;48672.00;2028.00;10211;40;10251
17/01/2019;2503.53;46168.47;48672.00;2028.00;9690;20;9710
18/01/2019;2491.23;46180.77;48672.00;2028.00;9313;51;9364
19/01/2019;1426.15;47197.50;48623.65;2025.99;4462;37;4499
20/01/2019;1859.95;45956.16;47816.11;1992.34;5421;95;5516
21/01/2019;2390.80;45550.29;47941.09;1997.55;9200;40;9240
22/01/2019;2159.45;46512.55;48672.00;2028.00;8463;33;8496
23/01/2019;2568.00;46104.00;48672.00;2028.00;9716;46;9762
24/01/2019;2851.73;45820.27;48672.00;2028.00;11077;53;11130
25/01/2019;3095.67;45576.33;48672.00;2028.00;11473;86;11559
26/01/2019;2629.42;46042.58;48672.00;2028.00;8395;204;8599
27/01/2019;2435.72;46236.28;48672.00;2028.00;7235;200;7435
28/01/2019;2743.37;45928.63;48672.00;2028.00;10032;64;10096
29/01/2019;2633.72;46038.28;48672.00;2028.00;10187;41;10228
30/01/2019;2335.75;46336.25;48672.00;2028.00;9085;25;9110
31/01/2019;2444.37;46227.63;48672.00;2028.00;9622;41;9663
01/02/2019;2347.73;46324.27;48672.00;2028.00;8478;63;8541
02/02/2019;2196.13;46475.87;48672.00;2028.00;6967;141;7108
